CustomerID,Gender,Age,Geography,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,AverageMonthlyBalance,ProductsPerCustomer,SalaryToBalanceRatio,Exited
10000047,Female,34,Germany,3,29005.67,3,1,0,28304.37,7251.42,0.75,0.98,0
10000048,Male,22,France,8,10572.94,4,0,0,61260.55,1174.77,0.44,5.79,1
10000049,Female,48,France,8,141157.26,3,1,1,48641.48,15684.14,0.33,0.34,0
10000050,Female,22,Germany,8,232542.74,1,0,0,86989.67,25838.08,0.11,0.37,0
10000051,Male,55,France,9,211062.18,2,0,0,33307.72,21106.22,0.2,0.16,0
10000052,Female,20,France,6,168961.94,2,1,0,117730.2,24137.42,0.29,0.7,1
10000053,Male,40,France,1,34778.96,4,1,1,137810.36,17389.48,2.0,3.96,0
10000054,Female,54,Spain,9,63557.85,2,0,0,116646.57,6355.78,0.2,1.84,0
10000055,Male,54,Germany,4,218877.81,4,0,0,89267.51,43775.56,0.8,0.41,1
10000056,Female,27,Germany,3,45701.81,1,1,1,131886.82,11425.45,0.25,2.89,0
10000057,Female,27,Spain,7,69609.85,2,0,1,110339.39,8701.23,0.25,1.59,0
10000058,Male,36,Germany,1,32400.16,4,1,0,21371.65,16200.08,2.0,0.66,1
10000059,Male,34,France,5,169027.06,3,1,1,71231.72,28171.18,0.5,0.42,1
10000060,Male,38,Germany,4,235995.58,4,0,0,130623.75,47199.12,0.8,0.55,0
10000061,Male,31,France,1,67242.01,2,0,0,64961.65,33621.0,1.0,0.97,0
10000062,Male,26,Spain,9,118851.65,1,1,0,24577.97,11885.16,0.1,0.21,0
10000063,Male,63,France,0,158584.93,2,0,1,117003.35,158584.93,2.0,0.74,0
10000064,Male,18,Germany,7,249866.56,2,1,0,124264.98,31233.32,0.25,0.5,0
10000065,Male,68,Germany,1,26202.02,4,1,1,40877.18,13101.01,2.0,1.56,1
10000066,Female,62,Germany,6,124642.7,3,1,1,89854.26,17806.1,0.43,0.72,0
10000067,Female,30,Spain,8,96280.03,2,0,0,44954.21,10697.78,0.22,0.47,0
10000068,Male,21,Spain,8,216455.04,3,1,1,113500.47,24050.56,0.33,0.52,0
10000069,Female,18,Germany,7,118991.93,4,1,1,55301.56,14873.99,0.5,0.46,1
10000070,Female,66,France,9,27744.38,3,1,1,61107.97,2774.44,0.3,2.2,0
10000071,Female,57,Spain,8,158606.04,4,1,1,129846.21,17622.89,0.44,0.82,0
10000072,Female,49,Germany,1,192695.15,1,1,1,81921.91,96347.58,0.5,0.43,0
10000073,Male,51,Germany,5,720.31,3,1,0,107068.08,120.05,0.5,148.44,0
10000074,Female,45,Spain,3,214739.17,3,1,1,72308.5,53684.79,0.75,0.34,0
10000075,Male,48,Spain,3,46505.75,1,1,0,58740.89,11626.44,0.25,1.26,1
10000076,Female,25,Spain,4,138017.34,3,1,0,101312.15,27603.47,0.6,0.73,0
10000077,Female,56,France,2,103949.38,1,1,0,40131.48,34649.79,0.33,0.39,0
10000078,Female,43,France,0,179913.45,2,1,0,68489.98,179913.45,2.0,0.38,1
10000079,Male,51,Germany,7,92790.4,4,0,0,47174.81,11598.8,0.5,0.51,1
10000080,Female,20,Spain,4,217440.79,1,1,0,110453.35,43488.16,0.2,0.51,1
10000081,Male,67,France,2,182624.09,3,1,1,142747.15,60874.7,1.0,0.78,1
10000082,Female,29,Spain,9,161928.29,1,1,1,149416.43,16192.83,0.1,0.92,0
10000083,Male,18,Germany,6,199060.15,3,0,1,78535.99,28437.16,0.43,0.39,0
10000084,Female,61,France,6,188505.76,2,1,0,52828.95,26929.39,0.29,0.28,1
10000085,Male,22,France,0,8984.67,1,0,1,77567.82,8984.67,1.0,8.63,1
10000086,Male,47,France,8,98683.59,2,1,1,130145.02,10964.84,0.22,1.32,0
10000087,Female,47,Germany,1,232701.82,4,1,1,46780.74,116350.91,2.0,0.2,0
10000088,Male,34,Spain,4,31431.07,3,0,0,143772.43,6286.21,0.6,4.57,1
10000089,Female,65,France,4,184274.14,3,1,1,64442.55,36854.83,0.6,0.35,0
10000090,Female,64,Germany,7,243647.95,2,0,0,148154.48,30455.99,0.25,0.61,0
10000091,Female,40,Spain,7,13049.66,4,0,1,129019.16,1631.21,0.5,9.89,0
10000092,Female,32,Germany,6,170548.47,1,1,0,125114.17,24364.07,0.14,0.73,1
10000093,Female,54,Spain,6,117038.54,1,1,0,61327.61,16719.79,0.14,0.52,1
10000094,Female,38,Germany,5,144793.81,3,1,0,21141.04,24132.3,0.5,0.15,0
10000095,Female,31,Spain,5,21335.33,2,1,1,69677.28,3555.89,0.33,3.27,1
10000096,Female,19,France,8,10751.74,2,0,1,59235.22,1194.64,0.22,5.51,0
10000097,Female,28,Spain,5,166716.67,1,0,0,24861.61,27786.11,0.17,0.15,0
10000098,Female,68,Germany,1,205827.36,4,1,1,85697.48,102913.68,2.0,0.42,0
10000099,Female,56,Germany,1,195503.83,4,0,0,72394.07,97751.92,2.0,0.37,0
10000100,Male,55,Spain,4,135951.43,1,0,0,102492.34,27190.29,0.2,0.75,0
10000101,Male,51,France,3,24966.71,1,1,1,100754.22,6241.68,0.25,4.04,1
10000102,Female,55,France,1,172011.11,2,0,1,35697.06,86005.56,1.0,0.21,0
10000103,Female,67,Spain,2,60472.22,4,0,1,147005.52,20157.41,1.33,2.43,0
10000104,Female,51,Spain,6,227767.18,1,1,0,44301.09,32538.17,0.14,0.19,1
10000105,Female,35,Germany,7,209566.34,1,0,0,77885.62,26195.79,0.12,0.37,1
10000106,Female,47,France,5,177345.74,3,1,1,83455.28,29557.62,0.5,0.47,0
10000107,Female,32,Spain,4,237211.49,1,0,0,125698.16,47442.3,0.2,0.53,1
10000108,Female,44,France,0,7855.46,1,1,1,32899.85,7855.46,1.0,4.19,1
10000109,Female,68,Spain,7,184050.11,4,0,0,75723.76,23006.26,0.5,0.41,0
10000110,Male,51,Spain,2,82560.69,2,0,1,101705.28,27520.23,0.67,1.23,0
10000111,Female,69,France,5,226516.47,4,1,1,47970.23,37752.75,0.67,0.21,0
10000112,Male,55,Spain,2,66668.8,2,1,0,101570.83,22222.93,0.67,1.52,0
10000113,Female,50,Spain,6,181214.12,3,1,1,140076.43,25887.73,0.43,0.77,1
10000114,Female,41,Germany,6,219411.75,1,1,1,149677.36,31344.54,0.14,0.68,0
10000115,Male,32,Spain,8,10414.2,3,0,0,24218.64,1157.13,0.33,2.33,0
10000116,Female,47,Spain,4,99411.89,2,0,1,50626.47,19882.38,0.4,0.51,0
10000117,Male,59,Spain,7,190577.26,4,0,0,60339.93,23822.16,0.5,0.32,1
10000118,Female,68,Germany,9,113729.72,4,1,1,71886.39,11372.97,0.4,0.63,0
10000119,Female,34,France,9,66813.16,3,0,0,51493.43,6681.32,0.3,0.77,1
10000120,Male,22,Germany,7,54951.34,2,0,1,46453.44,6868.92,0.25,0.85,0
10000121,Female,46,Germany,0,32879.57,3,1,1,144092.0,32879.57,3.0,4.38,0
10000122,Male,21,France,4,214282.39,3,1,1,139407.81,42856.48,0.6,0.65,1
10000123,Female,27,Germany,2,143838.85,1,0,1,26109.03,47946.28,0.33,0.18,0
10000124,Male,34,France,0,19096.24,3,1,0,64045.69,19096.24,3.0,3.35,1
10000125,Male,27,Germany,3,95645.08,1,0,0,72669.31,23911.27,0.25,0.76,0
10000126,Female,34,France,7,91933.41,1,0,0,51071.89,11491.68,0.12,0.56,0
10000127,Female,37,Spain,2,45434.8,4,1,0,101753.48,15144.93,1.33,2.24,1
10000128,Male,41,Germany,9,108876.91,1,0,0,103249.5,10887.69,0.1,0.95,1
10000129,Female,22,Germany,1,83024.84,1,1,0,130565.55,41512.42,0.5,1.57,0
10000130,Female,51,Germany,8,85450.93,4,1,0,116313.0,9494.55,0.44,1.36,1
10000131,Female,23,Germany,9,184756.64,3,0,1,90534.53,18475.66,0.3,0.49,1
10000132,Male,19,Spain,4,55815.85,2,0,1,104966.28,11163.17,0.4,1.88,0
10000133,Male,30,Germany,6,160464.99,2,0,1,55618.54,22923.57,0.29,0.35,0
10000134,Male,60,Spain,1,142662.41,2,1,1,97097.3,71331.2,1.0,0.68,1
10000135,Male,60,Spain,8,142023.13,3,0,0,83599.54,15780.35,0.33,0.59,0
10000136,Male,65,Spain,8,165751.84,1,1,0,37334.78,18416.87,0.11,0.23,1
10000137,Male,28,Spain,3,137095.51,2,1,0,51530.76,34273.88,0.5,0.38,0
10000138,Male,68,France,3,219813.78,3,0,1,57920.15,54953.44,0.75,0.26,0
10000139,Male,64,France,5,168895.02,1,1,0,140160.24,28149.17,0.17,0.83,1
10000140,Male,40,Germany,9,136740.81,4,0,1,49950.26,13674.08,0.4,0.37,0
10000141,Female,33,France,9,207440.78,2,0,0,57601.71,20744.08,0.2,0.28,0
10000142,Male,48,France,9,151536.64,1,0,0,68016.04,15153.66,0.1,0.45,1
10000143,Female,28,Germany,5,72786.06,2,0,0,106286.56,12131.01,0.33,1.46,1
10000144,Female,33,Germany,0,51773.73,2,0,0,35370.99,51773.73,2.0,0.68,0
10000145,Female,25,Germany,8,38081.95,2,0,1,144012.88,4231.33,0.22,3.78,0
10000146,Male,21,France,1,224863.8,1,0,1,132524.26,112431.9,0.5,0.59,0
10000147,Male,57,France,4,177533.86,3,1,0,95038.09,35506.77,0.6,0.54,1
10000148,Male,21,Germany,8,234344.61,1,0,1,107624.92,26038.29,0.11,0.46,0
10000149,Male,42,Spain,3,150822.95,2,1,0,22165.86,37705.74,0.5,0.15,0
10000150,Female,20,Germany,2,118350.22,1,1,0,64062.82,39450.07,0.33,0.54,1
10000151,Male,49,Spain,6,14929.12,4,1,0,123435.83,2132.73,0.57,8.27,1
10000152,Male,20,Spain,5,167910.57,3,0,0,30072.79,27985.1,0.5,0.18,0
10000153,Male,44,Germany,7,145552.19,1,1,1,56700.8,18194.02,0.12,0.39,0
10000154,Male,46,Germany,2,247552.22,4,1,0,96088.59,82517.41,1.33,0.39,0
10000155,Male,49,Germany,4,59789.69,3,0,0,53333.69,11957.94,0.6,0.89,1
10000156,Female,67,France,9,132684.34,4,0,1,141417.14,13268.43,0.4,1.07,0
10000157,Male,68,Spain,3,162739.33,3,1,0,37037.62,40684.83,0.75,0.23,0
10000158,Female,36,France,3,161147.79,1,0,1,123661.27,40286.95,0.25,0.77,0
10000159,Male,38,France,3,140323.39,4,0,0,86033.33,35080.85,1.0,0.61,0
10000160,Female,22,Germany,9,194232.0,2,0,0,117543.0,19423.2,0.2,0.61,1
10000161,Male,35,France,7,51245.3,4,0,0,60392.99,6405.66,0.5,1.18,0
10000162,Male,45,Germany,5,181406.8,3,1,0,86883.65,30234.47,0.5,0.48,0
10000163,Female,59,Spain,2,154933.64,1,0,0,131388.6,51644.55,0.33,0.85,0
10000164,Female,39,Germany,9,224018.78,3,0,0,80694.15,22401.88,0.3,0.36,0
10000165,Female,38,France,4,211798.61,4,0,1,66763.58,42359.72,0.8,0.32,0
10000166,Male,23,France,5,78786.76,4,1,0,89700.2,13131.13,0.67,1.14,0
10000167,Female,18,Germany,4,69059.33,2,1,1,113257.16,13811.87,0.4,1.64,0
10000168,Male,22,Germany,5,245413.33,1,0,1,77663.23,40902.22,0.17,0.32,0
10000169,Male,58,France,7,131816.3,1,0,0,142054.01,16477.04,0.12,1.08,1
10000170,Female,29,Spain,6,226605.24,4,1,1,58342.96,32372.18,0.57,0.26,0
10000171,Female,43,Spain,4,40970.26,1,0,0,81810.27,8194.05,0.2,2.0,0
10000172,Male,63,Germany,9,160704.73,2,0,1,118400.6,16070.47,0.2,0.74,0
10000173,Male,51,Spain,5,202465.05,3,1,0,109585.74,33744.17,0.5,0.54,0
10000174,Female,66,France,3,236848.81,1,0,1,132273.34,59212.2,0.25,0.56,0
10000175,Female,31,Germany,8,84335.04,4,0,1,149585.19,9370.56,0.44,1.77,0
10000176,Female,43,France,3,181245.29,3,1,0,75491.58,45311.32,0.75,0.42,0
10000177,Male,62,France,0,134703.25,3,1,1,34449.61,134703.25,3.0,0.26,1
10000178,Male,44,Spain,6,15157.23,2,0,0,23954.06,2165.32,0.29,1.58,0
10000179,Male,26,Germany,6,172499.93,4,1,0,114494.0,24642.85,0.57,0.66,1
10000180,Male,43,Germany,3,172524.14,1,0,0,133621.78,43131.04,0.25,0.77,0
10000181,Male,64,Spain,2,232651.7,4,0,0,48692.64,77550.57,1.33,0.21,0
10000182,Male,39,France,7,124328.11,3,0,0,40598.24,15541.01,0.38,0.33,0
10000183,Female,64,France,4,57562.73,4,1,1,28086.66,11512.55,0.8,0.49,0
10000184,Male,47,France,9,11140.96,1,1,1,126951.38,1114.1,0.1,11.39,1
10000185,Male,60,France,6,103910.55,1,0,1,60479.65,14844.36,0.14,0.58,1
10000186,Male,65,Germany,3,75479.18,2,0,0,72220.6,18869.79,0.5,0.96,0
10000187,Female,34,Germany,3,190272.08,1,1,1,85357.52,47568.02,0.25,0.45,1
10000188,Male,43,Spain,7,88566.94,1,1,1,129128.92,11070.87,0.12,1.46,0
10000189,Male,53,Spain,7,237267.8,4,1,1,104608.32,29658.48,0.5,0.44,1
10000190,Female,18,Germany,1,240577.55,4,0,1,99958.4,120288.78,2.0,0.42,1
10000191,Male,25,Germany,1,155227.15,3,1,1,42837.37,77613.58,1.5,0.28,0
10000192,Male,66,France,2,232165.07,2,1,0,86714.69,77388.36,0.67,0.37,1
10000193,Male,52,France,2,190213.59,4,0,0,112999.53,63404.53,1.33,0.59,0
10000194,Male,69,Spain,0,136714.91,1,0,1,146523.91,136714.91,1.0,1.07,1
10000195,Male,32,Germany,2,45076.98,3,0,0,46182.82,15025.66,1.0,1.02,0
10000196,Female,64,Spain,5,114649.49,4,1,0,21240.64,19108.25,0.67,0.19,1
10000197,Female,39,Germany,7,140218.62,2,0,1,29789.19,17527.33,0.25,0.21,0
10000198,Female,31,France,9,215990.4,2,0,1,68860.82,21599.04,0.2,0.32,0
10000199,Male,43,Spain,5,120333.34,3,0,0,126670.8,20055.56,0.5,1.05,1
10000200,Male,45,Spain,4,224418.67,3,0,1,20928.47,44883.73,0.6,0.09,0
10000201,Male,40,Germany,3,168587.24,3,1,0,79374.98,42146.81,0.75,0.47,1
10000202,Female,31,France,2,34249.77,3,0,0,62799.98,11416.59,1.0,1.83,1
10000203,Male,41,Spain,3,248745.34,3,1,1,26822.62,62186.34,0.75,0.11,0
10000204,Male,19,France,6,131808.17,1,1,0,78530.72,18829.74,0.14,0.6,1
10000205,Female,62,Spain,0,97964.57,1,1,0,53117.33,97964.57,1.0,0.54,1
10000206,Male,43,France,6,164778.44,4,0,0,65745.03,23539.78,0.57,0.4,0
10000207,Female,31,Germany,0,27223.33,2,1,1,111729.99,27223.33,2.0,4.1,0
10000208,Female,68,Spain,1,159134.66,1,0,1,87801.63,79567.33,0.5,0.55,0
10000209,Female,24,Spain,3,124559.0,1,0,1,36204.17,31139.75,0.25,0.29,0
10000210,Male,20,France,0,101668.52,1,0,1,144983.89,101668.52,1.0,1.43,0
10000211,Male,64,France,8,238255.01,4,1,0,102668.4,26472.78,0.44,0.43,1
10000212,Male,40,Spain,5,130634.93,3,0,1,119562.9,21772.49,0.5,0.92,1
10000213,Male,63,Germany,0,54779.37,4,0,1,30297.71,54779.37,4.0,0.55,0
10000214,Male,60,France,0,114740.87,2,0,1,26117.59,114740.87,2.0,0.23,1
10000215,Male,64,France,5,229846.85,2,1,1,22528.25,38307.81,0.33,0.1,0
10000216,Male,62,France,3,44023.87,2,1,0,44543.22,11005.97,0.5,1.01,1
10000217,Female,35,Spain,3,53489.26,2,1,0,73873.09,13372.32,0.5,1.38,1
10000218,Male,55,Spain,5,3257.39,1,0,0,141657.4,542.9,0.17,43.47,1
10000219,Female,52,Spain,6,3547.51,1,1,1,79417.76,506.79,0.14,22.38,1
10000220,Male,68,Spain,8,207347.91,4,0,1,57733.16,23038.66,0.44,0.28,0
10000221,Male,32,Germany,9,183030.65,3,0,0,93051.58,18303.06,0.3,0.51,1
10000222,Male,42,Germany,4,88760.26,2,1,1,34551.5,17752.05,0.4,0.39,0
10000223,Female,54,Spain,8,174577.79,4,0,1,99235.77,19397.53,0.44,0.57,0
10000224,Female,45,Germany,3,98801.48,1,1,0,93896.15,24700.37,0.25,0.95,1
10000225,Female,27,France,9,238224.2,1,0,0,122959.09,23822.42,0.1,0.52,1
10000226,Female,56,France,1,241763.17,3,1,1,148269.39,120881.58,1.5,0.61,0
10000227,Male,34,France,2,98198.44,3,0,1,52613.55,32732.81,1.0,0.54,0
10000228,Female,56,Spain,0,213555.48,3,0,1,86255.34,213555.48,3.0,0.4,0
10000229,Male,39,France,5,193272.26,4,0,0,138152.5,32212.04,0.67,0.71,1
10000230,Male,43,Germany,5,77499.98,1,0,0,122074.68,12916.66,0.17,1.58,0
10000231,Female,61,Spain,0,58009.96,1,0,0,83362.82,58009.96,1.0,1.44,0
10000232,Female,42,Germany,2,114558.66,3,1,0,142898.31,38186.22,1.0,1.25,0
10000233,Female,34,France,4,195337.21,2,0,1,27440.77,39067.44,0.4,0.14,0
10000234,Female,30,France,2,240041.95,3,1,0,141029.82,80013.98,1.0,0.59,0
10000235,Female,37,France,9,190894.77,4,1,0,26565.96,19089.48,0.4,0.14,0
10000236,Female,42,Spain,2,213801.75,3,1,1,91149.62,71267.25,1.0,0.43,0
10000237,Female,21,Germany,9,150766.08,3,0,1,135757.32,15076.61,0.3,0.9,0
10000238,Female,27,Spain,2,208851.96,4,0,1,54153.72,69617.32,1.33,0.26,0
10000239,Male,20,Spain,4,196105.21,3,0,0,81392.3,39221.04,0.6,0.42,0
10000240,Female,58,France,4,94246.39,1,1,1,62162.75,18849.28,0.2,0.66,1
10000241,Female,62,Spain,3,137997.58,2,0,1,143778.71,34499.39,0.5,1.04,0
10000242,Male,35,Spain,0,201188.28,3,0,0,127073.93,201188.28,3.0,0.63,0
10000243,Female,64,France,4,11514.18,4,1,0,112170.2,2302.84,0.8,9.74,1
10000244,Male,53,Spain,9,202019.82,2,1,1,96391.51,20201.98,0.2,0.48,0
10000245,Male,64,France,4,44472.03,4,1,0,126676.93,8894.41,0.8,2.85,1
10000246,Female,39,France,3,128670.9,2,1,1,70994.72,32167.72,0.5,0.55,0
10000247,Male,51,France,5,202068.86,2,1,1,78181.74,33678.14,0.33,0.39,0
10000248,Male,64,France,9,63455.27,3,1,0,114900.22,6345.53,0.3,1.81,1
10000249,Male,25,Spain,3,61451.86,1,0,1,66508.12,15362.96,0.25,1.08,1
10000250,Male,57,France,6,100691.1,3,1,0,28307.12,14384.44,0.43,0.28,0
10000251,Female,66,France,6,223660.7,4,0,0,29663.5,31951.53,0.57,0.13,1
10000252,Male,61,Spain,1,110.7,4,0,0,34997.16,55.35,2.0,313.31,1
10000253,Female,36,Spain,2,225345.77,2,0,1,133058.57,75115.26,0.67,0.59,0
10000254,Male,59,Germany,0,38451.76,2,1,0,81389.44,38451.76,2.0,2.12,1
10000255,Male,58,Spain,7,247521.59,1,0,0,112674.71,30940.2,0.12,0.46,1
10000256,Male,54,Spain,8,238711.75,3,1,1,71078.21,26523.53,0.33,0.3,0
10000257,Male,23,Germany,3,123668.8,4,1,1,53632.42,30917.2,1.0,0.43,0
10000258,Female,69,Spain,5,128180.06,2,0,1,65134.98,21363.34,0.33,0.51,0
10000259,Female,43,Spain,8,120387.34,1,1,1,123243.7,13376.37,0.11,1.02,1
10000260,Male,51,Spain,5,158860.91,4,0,0,101278.1,26476.82,0.67,0.64,1
10000261,Male,62,Spain,8,22680.43,2,0,0,141893.17,2520.05,0.22,6.26,1
10000262,Female,23,Germany,3,8154.49,4,1,0,108361.62,2038.62,1.0,13.29,0
10000263,Male,54,Spain,7,14425.73,1,0,1,94123.61,1803.22,0.12,6.52,0
10000264,Male,50,Spain,8,111091.34,1,0,1,99325.48,12343.48,0.11,0.89,1
10000265,Male,39,Germany,3,68886.98,4,0,0,142508.29,17221.74,1.0,2.07,1
10000266,Female,38,France,4,155509.89,3,1,1,122466.12,31101.98,0.6,0.79,1
10000267,Female,23,Germany,7,248110.57,4,0,1,23125.36,31013.82,0.5,0.09,0
10000268,Female,23,France,9,96580.79,2,1,0,89438.16,9658.08,0.2,0.93,1
10000269,Male,65,Germany,5,143460.31,3,1,0,109483.99,23910.05,0.5,0.76,0
10000270,Male,21,Germany,6,103900.97,2,0,1,117330.8,14843.0,0.29,1.13,1
10000271,Female,47,Spain,2,211817.92,4,0,1,47708.48,70605.97,1.33,0.23,0
10000272,Female,28,France,6,225559.1,3,1,1,132733.06,32222.73,0.43,0.59,0
10000273,Female,47,Spain,7,219338.9,2,1,0,144259.61,27417.36,0.25,0.66,0
10000274,Female,48,France,9,243593.06,4,0,0,50772.99,24359.31,0.4,0.21,1
10000275,Male,41,Germany,5,6879.8,4,0,0,134740.01,1146.63,0.67,19.58,1
10000276,Female,26,Germany,9,209954.04,3,1,0,32607.24,20995.4,0.3,0.16,0
10000277,Male,20,France,8,187943.04,4,1,0,27241.89,20882.56,0.44,0.14,1
10000278,Female,68,Spain,5,57173.6,1,1,1,36799.09,9528.93,0.17,0.64,1
10000279,Male,48,Spain,8,239080.02,2,1,1,27506.34,26564.45,0.22,0.12,0
10000280,Female,57,Spain,3,37044.48,2,1,1,129851.59,9261.12,0.5,3.51,0
10000281,Female,54,Spain,7,169887.48,4,0,0,27676.52,21235.94,0.5,0.16,1
10000282,Female,53,Germany,3,56222.55,4,1,0,55316.34,14055.64,1.0,0.98,1
10000283,Female,41,Germany,1,107845.16,1,1,0,33488.32,53922.58,0.5,0.31,1
10000284,Male,48,Germany,9,179789.97,3,0,1,58404.86,17979.0,0.3,0.32,0
10000285,Female,23,Germany,8,140831.16,4,0,0,31772.73,15647.91,0.44,0.23,0
10000286,Male,19,Germany,4,106875.46,4,1,0,106840.42,21375.09,0.8,1.0,1
10000287,Male,37,Spain,3,81584.61,4,1,1,37332.49,20396.15,1.0,0.46,0
10000288,Male,45,Spain,1,209914.91,4,0,0,130739.97,104957.46,2.0,0.62,0
10000289,Male,28,Spain,0,35953.59,2,1,1,126234.84,35953.59,2.0,3.51,0
10000290,Female,21,Spain,6,107525.72,4,1,0,21776.02,15360.82,0.57,0.2,1
10000291,Male,32,Germany,5,225939.39,2,0,0,136444.43,37656.56,0.33,0.6,1
10000292,Male,23,Germany,1,211462.39,4,1,1,23762.76,105731.2,2.0,0.11,0
10000293,Male,66,Germany,7,100235.44,3,0,1,51153.95,12529.43,0.38,0.51,0
10000294,Female,47,France,3,190777.09,1,0,1,24210.59,47694.27,0.25,0.13,1
10000295,Female,55,Spain,7,205790.21,3,0,1,63659.65,25723.78,0.38,0.31,0
10000296,Female,68,Spain,6,222221.86,4,0,1,86802.65,31745.98,0.57,0.39,0
10000297,Female,19,Germany,4,136126.44,4,1,1,123563.83,27225.29,0.8,0.91,0
10000298,Male,32,Spain,9,51115.22,4,0,0,63937.6,5111.52,0.4,1.25,1
10000299,Male,28,Spain,9,63827.27,3,1,0,111713.7,6382.73,0.3,1.75,0
10000300,Female,25,Germany,7,73923.67,4,1,1,44375.58,9240.46,0.5,0.6,0
10000301,Male,43,France,8,148450.62,3,1,0,117577.8,16494.51,0.33,0.79,0
10000302,Male,68,France,4,8202.41,2,1,1,50679.56,1640.48,0.4,6.18,1
10000303,Male,62,France,9,159010.62,1,1,0,38660.82,15901.06,0.1,0.24,0
10000304,Female,61,Germany,4,91088.56,1,0,1,44103.15,18217.71,0.2,0.48,1
